Movie_Name,Genre,Duration,Ratings,Voting_counts
Midnight Express,Mystery,1h 4m,8.4,7
The Fall of 2008,Mystery,1h 1m,5.8,12
The Price of Money: A Largo Winch Adventure,Mystery,1h 40m,5.1,1.4K
Killer Body Count,Mystery,1h 49m,4.7,710
The North Witch,Mystery,1h 20m,4.2,164
Drive Back,Mystery,1h 34m,4.5,788
Cheat,Mystery,1h 45m,4.1,228
Cinderella's Curse,Mystery,1h 22m,3.4,1.4K
Rautu Ka Raaz,Mystery,1h 54m,6.3,2K
Strictly Confidential,Mystery,1h 34m,2.8,896
Uninvited,Mystery,1h 33m,5.6,383
A Place Called Silence,Mystery,1h 59m,6.5,1.4K
Phir Aayi Hasseen Dillruba,Mystery,2h 12m,5.8,7.1K
Cinderella's Revenge,Mystery,1h 25m,3.8,1.3K
Sheriff,Mystery,2h 13m,6.9,1.2K
Its Name Was Mormo,Mystery,1h 33m,3.7,207
Doctor X: The Movie,Mystery,2h 8m,7.4,98
The Dead Thing,Mystery,1h 34m,4.7,1.1K
Daft State,Mystery,N/A,5.8,59
The Hangman,Mystery,1h 32m,3.3,1.1K
A Stranger's Child,Mystery,1h 28m,5.6,166
Somebody,Mystery,1h 52m,6.5,111
Chapter 51,Mystery,2h,N/A,N/A
The Kingdom,Mystery,2h 13m,7.0,163
They Called Him Mostly Harmless,Mystery,1h 29m,5.9,3.4K
The Monster Beneath Us,Mystery,1h 43m,5.0,514
Cellphone,Mystery,1h 28m,3.0,766
Borderless Fog,Mystery,1h 50m,5.2,1.4K
Paranoia,Mystery,1h 35m,4.1,419
Behave,Mystery,1h 28m,2.6,245
You Will Die in 6 Hours,Mystery,1h 31m,5.0,347
Kondal,Mystery,2h 27m,5.3,814
Transamazonia,Mystery,1h 52m,5.9,88
Missing Child Videotape,Mystery,1h 44m,5.5,288
Kurukku,Mystery,1h 49m,6.3,544
Chapel,Mystery,1h 32m,3.3,206
#AMFAD: All My Friends Are Dead,Mystery,1h 31m,4.5,1.3K
Ranam Aram Thavarel,Mystery,2h 1m,5.9,820
Free Falling,Mystery,1h 29m,5.2,320
Horror in the High Desert 3: Firewatch,Mystery,1h 28m,5.4,806
Gaami,Mystery,2h 27m,6.3,2.1K
House of Lies,Mystery,1h 22m,3.8,193
Granny,Mystery,40m,7.3,9
Stupid Games,Mystery,1h 26m,4.2,464
Held Hostage in My House,Mystery,1h 30m,4.6,158
The Backrooms,Mystery,1h 3m,8.5,18
DNA,Mystery,2h 36m,5.4,230
The American Backyard,Mystery,1h 47m,6.1,298
Flesh of the Unforgiven,Mystery,1h 28m,7.5,69
Oshi no Ko: The Final Act,Mystery,2h 9m,6.1,220
"April, Come She Will",Mystery,1h 48m,6.2,487
Faultline,Mystery,1h 32m,4.7,152
Live or Dead: The García File,Mystery,1h 24m,6.6,96
Hello Neighbor,Mystery,N/A,7.9,17
The Yin Yang Master Zero,Mystery,1h 52m,5.7,311
Séance Games: Metaxu,Mystery,1h 26m,3.7,398
Vertical,Mystery,1h 51m,5.2,154
10 Days of a Curious Man,Mystery,1h 50m,5.7,1.4K
Perfect Blue,Mystery,N/A,7.0,11
Perewangan,Mystery,1h 49m,5.4,193
Birthright,Mystery,1h 20m,5.3,268
Drive,Mystery,1h 30m,5.6,390
Athomugam,Mystery,2h 10m,7.0,657
While You Were Sleeping,Mystery,1h 39m,6.0,181
Pogumidam Vegu Thooramillai,Mystery,2h 13m,7.3,3.9K
Haze,Mystery,1h 16m,6.4,56
Chaalchitro: The Frame Fatale,Mystery,2h 4m,6.4,951
What Happens in Miami,Mystery,1h 30m,4.3,225
Danger in the Dorm,Mystery,1h 26m,5.0,169
Dark Night of the Soul,Mystery,1h 21m,3.1,187
Shark Island,Mystery,1h 21m,3.1,147
The Manifestation,Mystery,1h 24m,3.5,207
Can You Hear Me?,Mystery,1h 33m,N/A,N/A
Portraits,Mystery,1h 22m,4.7,49
First Nights at Freddy's,Mystery,1h 38m,9.0,22
Murder and Cocktails,Mystery,1h 28m,3.9,374
9 Windows,Mystery,1h 22m,3.6,334
From Darkness,Mystery,1h 35m,4.9,613
Lunacy,Mystery,1h 17m,5.0,67
About a Hero,Mystery,1h 24m,6.2,64
Deadly Invitations,Mystery,1h 29m,4.1,188
In Our Blood,Mystery,1h 29m,6.8,52
The Private Eye,Mystery,1h 55m,5.4,277
Vivekam,Mystery,1h 44m,8.2,308
Andhagan,Mystery,2h 22m,6.6,1.2K
Six jours,Mystery,1h 35m,5.8,307
