Movie_Name,Genre,Duration,Ratings,Voting_counts
Fureru,Animation,1h 47m,6.2,78
The Quintessential Quintuplets Specials 2,Animation,46m,6.8,209
God with Three Eyes,Animation,1h 52m,5.8,36
The Proud Princess,Animation,1h 24m,6.3,166
Niko: Beyond the Northern Lights,Animation,1h 26m,6.1,370
Living Large,Animation,1h 20m,6.9,205
Inanimate Insanity II: The Movie,Animation,1h 46m,8.3,271
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Animation,55m,5.7,11
Norbert,Animation,1h 15m,6.7,20
SuperKlaus,Animation,1h 28m,4.3,220
Shrek 5: The Contract - A Fan Made Film,Animation,1h 24m,7.3,26
Among Neighbors,Animation,1h 40m,9.6,54
Emma's Big Adventure,Animation,1h 46m,5.3,149
Appu,Animation,1h 32m,8.2,204
Heartsping : Teenieping of Love,Animation,N/A,7.4,35
Transformers Prime: Galavatron's Revenge,Animation,1h 44m,4.7,21
Fox & Hare Save the Forest,Animation,1h 11m,5.9,232
Boonie Bears: Time Twist,Animation,1h 45m,5.9,187
Isla Monstro,Animation,N/A,7.2,13
Kid Santa,Animation,N/A,2.2,11
Peppa's Cinema Party,Animation,1h 5m,4.9,160
Dragon Ball Z Kai,Animation,1h 22m,8.4,102
Kuramerukagari,Animation,1h 1m,5.8,93
Where the Robots Grow,Animation,1h 28m,2.6,541
Astra,Animation,1h 20m,6.8,9
Kizumonogatari: Koyomi Vamp,Animation,2h 24m,7.1,126
(S)KiDS,Animation,1h 25m,8.2,166
The Worlds Divide,Animation,2h,7.9,39
"Maya, donne-moi un titre",Animation,1h 1m,6.5,75
"Ado SPECIAL LIVE ""Shinzou"" in Cinema",Animation,2h 20m,9.0,60
Quo Vadis,Animation,1h 30m,7.6,808
Cille 2069,Animation,N/A,5.4,104
Tobias and the Arcane Merchant,Animation,2h 47m,8.9,50
Woolina and the No Birds,Animation,1h 20m,8.2,54
Trapezium,Animation,1h 35m,6.2,184
Double Tuckerr,Animation,2h,5.2,1.5K
Si Juki the Movie: Harta Pulau Monyet,Animation,1h 47m,6.1,147
Rock Bottom,Animation,1h 26m,6.3,72
Zak & Wowo: The Legend of Lendarys,Animation,1h 25m,5.7,106
Askepote,Animation,1h 12m,3.4,90
Inventors,Animation,N/A,N/A,N/A
Mariposas Negras,Animation,1h 23m,7.0,80
Terra Incognita 1901,Animation,1h 18m,5.2,73
DreadClub: Vampire's Verdict,Animation,1h 28m,5.0,80
Bocchi the Rock! Recap Part 1,Animation,1h 30m,7.5,218
The Hyperboreans,Animation,1h 11m,6.5,128
Maxxie LaWow: Drag Super-shero,Animation,1h 54m,7.5,342
Monkey King: The Beginning,Animation,N/A,7.1,8
Schirkoa: In Lies We Trust,Animation,1h 43m,5.5,177
Taisu Xilie,Animation,1h 40m,N/A,N/A
Fuuto PI: Portrait of Kamen Rider Skull,Animation,1h 22m,7.3,58
Mochi-chon,Animation,N/A,7.8,12
Hello My Beautiful Creatures,Animation,2h 22m,6.8,178
PAPmusic - Animation for Fashion,Animation,1h 25m,1.1,208
Bloody Escape: Bats out of Hell,Animation,1h 40m,5.3,64
Rocky and Bullwinkle,Animation,1h 40m,9.1,19
Nintama Rantaro Dokutake Ninja-tai Saikyou no Gunshi,Animation,1h 30m,6.9,65
Olivia & the Clouds,Animation,1h 21m,7.1,72
Benjamin Bat,Animation,1h 15m,7.9,34
Steal the Naughty List,Animation,1h 30m,4.8,132
Luntik. Vozvrashchenie domoy,Animation,N/A,6.4,86
Memory Hotel,Animation,1h 40m,N/A,N/A
Captain Avispa,Animation,1h 36m,5.7,183
Dead Dead Demon's Dededede Destruction,Animation,2h,7.0,149
Bocchi the Rock! Recap Part 2,Animation,1h 17m,7.4,157
Mustafa,Animation,1h 15m,6.9,77
