Movie_Name,Genre,Duration,Ratings,Voting_counts
Orion and the Dark,Adventure,1h 33m,6.3,18K
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,Adventure,1h 44m,7.2,9.3K
The Goat Life,Adventure,2h 53m,7.1,49K
No Way Up,Adventure,1h 30m,4.6,11K
Justice League: Crisis on Infinite Earths - Part One,Adventure,1h 33m,6.2,9.2K
Sasquatch Sunset,Adventure,1h 28m,5.4,5.8K
Doraemon the Movie: Nobita's Earth Symphony,Adventure,1h 55m,6.6,1.7K
Family Pack,Adventure,1h 34m,5.5,10K
Lost on a Mountain in Maine,Adventure,1h 38m,6.1,2.2K
Justice League: Crisis on Infinite Earths - Part Three,Adventure,1h 34m,6.1,5.1K
Bookworm,Adventure,1h 43m,6.0,2.3K
Escape,Adventure,1h 34m,6.4,2.4K
Winner,Adventure,1h 43m,6.5,2.9K
That Christmas,Adventure,1h 31m,6.8,17K
The Traveller,Adventure,2h 14m,5.2,249
Ultraman: Rising,Adventure,1h 57m,6.9,6.9K
Kalvan,Adventure,2h 22m,5.6,1K
Justice League: Crisis on Infinite Earths - Part Two,Adventure,1h 34m,5.6,5.9K
Sunlight,Adventure,1h 36m,6.4,216
Badland Hunters,Adventure,1h 47m,5.9,13K
Something in the Water,Adventure,1h 26m,4.1,5.4K
The Best Christmas Pageant Ever,Adventure,1h 39m,6.8,6.4K
The Last Ronin,Adventure,1h 55m,4.9,663
Meanwhile on Earth,Adventure,1h 29m,5.9,1.1K
A Legend,Adventure,2h 9m,4.7,1.1K
Cult Killer,Adventure,1h 45m,4.8,3.1K
My Hero Academia: You're Next,Adventure,1h 50m,7.0,2.9K
Diving Into the Darkness,Adventure,1h 36m,7.4,105
A.R.M,Adventure,2h 30m,7.1,9.4K
The Tiger's Apprentice,Adventure,1h 24m,5.8,2.3K
Crayon Shin-chan: Our Dinosaur Diary,Adventure,1h 46m,6.6,679
Ayalaan,Adventure,2h 35m,5.9,4.1K
Hitpig,Adventure,1h 26m,5.2,1.2K
Angels Fallen: Warriors of Peace,Adventure,1h 43m,4.8,6.5K
Cells at Work!,Adventure,1h 49m,6.7,1.2K
Never Look Away,Adventure,1h 25m,7.1,311
Bade Miyan Chote Miyan,Adventure,2h 43m,3.8,40K
Buffalo Kids,Adventure,1h 33m,6.6,847
The Great Lillian Hall,Adventure,1h 50m,7.3,2.2K
Woody Woodpecker Goes to Camp,Adventure,1h 40m,4.5,2.7K
Saving Bikini Bottom: The Sandy Cheeks Movie,Adventure,1h 22m,3.7,4.2K
Robin and the Hoods,Adventure,1h 40m,4.3,559
The Last Redemption,Adventure,2h 2m,7.0,6.9K
200% Wolf,Adventure,1h 38m,5.9,1.4K
Golden Kamuy,Adventure,2h 7m,6.3,2.7K
Bambi: A Tale of Life in the Woods,Adventure,1h 18m,5.6,319
"I, the Executioner",Adventure,1h 58m,6.3,2.2K
Saint-Exupéry,Adventure,1h 38m,5.4,707
Dragonkeeper,Adventure,1h 38m,5.7,1.9K
Operation: Raqqa,Adventure,1h 47m,5.6,345
The Wages of Fear,Adventure,1h 44m,4.6,4.3K
The Empire,Adventure,1h 50m,5.2,1.4K
The Firing Squad,Adventure,1h 33m,5.0,5.1K
Kanguva,Adventure,2h 32m,4.5,15K
Anaconda,Adventure,1h 24m,4.9,703
Hanu Man,Adventure,2h 38m,7.7,30K
A Sloth Story,Adventure,1h 30m,5.6,300
Autumn and the Black Jaguar,Adventure,1h 40m,5.7,1.1K
Thelma the Unicorn,Adventure,1h 33m,5.7,3.1K
Captain Miller,Adventure,2h 37m,7.2,14K
Sixty Minutes,Adventure,1h 28m,5.7,5.4K
Unspeakable: Beyond the Wall of Sleep,Adventure,1h 30m,3.8,152
My Oni Girl,Adventure,1h 52m,6.0,2K
This Too Shall Pass,Adventure,1h 45m,8.0,23
Mobile Suit Gundam SEED Freedom,Adventure,2h 4m,6.6,1K
The Storm,Adventure,1h 42m,6.1,149
Son's Will,Adventure,2h 28m,7.4,1.1K
The Keepers of the 5 Kingdoms,Adventure,1h 49m,4.1,239
Five Friends,Adventure,1h 52m,6.7,1K
Sam and Colby: The Legends of the Paranormal,Adventure,1h 38m,4.8,321
Rally Caps,Adventure,1h 40m,5.5,152
Chuck Billy and the Marvelous Guava Tree,Adventure,1h 30m,7.4,1.3K
Diplodocus,Adventure,1h 33m,6.2,222
Planetquake,Adventure,1h 25m,3.0,335
At Her Feet,Adventure,1h 40m,7.6,76
Alpha.,Adventure,1h 40m,6.8,306
Kvitebjørn,Adventure,1h 25m,5.8,99
76 Days Adrift,Adventure,1h 45m,N/A,N/A
The Waves of Madness,Adventure,1h 8m,5.2,133
Roadkill,Adventure,1h 30m,3.7,712
Daye: Seret ahl el Daye,Adventure,1h 44m,7.7,21
Poklad,Adventure,1h 40m,4.4,56
Overlord: The Sacred Kingdom,Adventure,2h 15m,6.8,1.7K
The Price of Money: A Largo Winch Adventure,Adventure,1h 40m,5.1,1.4K
Empire Queen: The Golden Age of Magic,Adventure,2h 28m,3.3,316
Thangalaan,Adventure,2h 36m,6.5,6.9K
The Mountain,Adventure,1h 29m,6.4,249
No Chains No Masters,Adventure,1h 38m,6.3,736
The Twisters,Adventure,1h 26m,2.6,491
Its Name Was Mormo,Adventure,1h 33m,3.7,207
Operation Blood Hunt,Adventure,1h 33m,3.4,551
Rebellious,Adventure,1h 34m,6.1,251
Noah's Ark,Adventure,1h 36m,4.2,720
Spiders on a Plane,Adventure,1h 18m,3.9,515
No Time to Spy: A Loud House Movie,Adventure,1h 21m,6.4,531
Bureau 749,Adventure,2h 3m,3.8,596
School of Magical Animals 3,Adventure,1h 45m,5.7,392
Man and Witch: The Dance of a Thousand Steps,Adventure,1h 34m,5.6,371
Return to Wickensburg,Adventure,1h 28m,4.6,98
The Lost Tiger,Adventure,1h 30m,7.3,67
The Kingdom,Adventure,2h 13m,7.0,163
I Hate Summer,Adventure,1h 43m,5.1,710
Bionic,Adventure,1h 50m,4.3,1.8K
My Freaky Family,Adventure,1h 26m,6.1,440
Witch Hunter,Adventure,1h 20m,3.9,48
Now or Never!,Adventure,2h 15m,2.2,17K
Eat the Night,Adventure,1h 46m,6.1,644
Seven Seas Seven Hills,Adventure,1h 30m,8.6,102
Earthquake Underground,Adventure,1h 23m,3.2,239
Dalia and the Red Book,Adventure,1h 47m,5.9,183
Storm Crashers,Adventure,1h 28m,6.1,610
Naa Saami Ranga,Adventure,2h 30m,4.5,1.2K
Gaami,Adventure,2h 27m,6.3,2.1K
The Casagrandes Movie,Adventure,1h 29m,5.6,720
Gladiators,Adventure,1h 35m,3.2,140
The Backrooms,Adventure,1h 3m,8.5,18
Gracie and Pedro: Pets to the Rescue,Adventure,1h 27m,5.0,308
Road Wars: Max Fury,Adventure,1h 23m,2.0,374
Big City Greens the Movie: Spacecation,Adventure,1h 23m,6.2,629
Panda Bear in Africa,Adventure,1h 24m,5.5,397
The Magician's Raincoat,Adventure,N/A,5.1,138
Bull Shark 3,Adventure,1h 16m,2.7,146
War of the Worlds: Extinction,Adventure,1h 24m,3.1,233
Devil's Knight,Adventure,1h 30m,5.3,1K
Guest from the Future,Adventure,2h 21m,6.0,1.3K
Dongeng Sang Kancil,Adventure,1h 39m,6.6,236
Vertical,Adventure,1h 51m,5.2,154
WWII: Operation Phoenix,Adventure,1h 46m,4.0,110
Taklee Genesis x Worlds Collide,Adventure,2h 26m,5.4,447
