Movie_Name,Genre,Duration,Ratings,Voting_counts
A Wolf Among the Swans,Biography,1h 50m,7.4,32
The Truth vs. Alex Jones,Biography,2h 1m,7.5,3.1K
"Iki Gözüm Ahmet, Sürgün",Biography,1h 53m,3.7,144
Main Atal Hoon,Biography,2h 19m,6.9,6.4K
John Cranko,Biography,2h 13m,7.0,231
Vindication Swim,Biography,1h 38m,5.9,234
Nasty,Biography,1h 43m,7.7,1.1K
Jenni,Biography,1h 53m,6.8,48
Vivekam,Biography,1h 44m,8.2,308
Chhatrapati Sambhaji,Biography,3h 6m,5.4,238
Laura,Biography,1h 44m,6.4,268
House of Ga'a,Biography,1h 59m,4.0,492
Miyazaki: L'Esprit de la Nature,Biography,1h 24m,7.1,335
Chhava,Biography,51m,8.4,2.3K
Ae Watan Mere Watan,Biography,2h 13m,4.7,1.4K
Ernest Cole: Lost and Found,Biography,1h 45m,7.3,446
Blue Road: The Edna O'Brien Story,Biography,1h 39m,8.0,108
Stevie Van Zandt: Disciple,Biography,2h 27m,7.9,719
The Sidemen Story,Biography,1h 39m,6.7,1.7K
Kulej. Dwie strony medalu,Biography,2h 28m,6.4,360
Münter & Kandinsky,Biography,2h 6m,6.2,127
Bogart: Life Comes in Flashes,Biography,1h 39m,6.9,500
Marcella,Biography,1h 37m,8.2,56
Suzzanna: The Queen of Black Magic,Biography,1h 28m,6.7,64
Gary,Biography,1h 31m,6.6,576
Simona Kossak,Biography,1h 40m,6.0,421
Levoton Tuhkimo,Biography,1h 28m,6.4,541
Faruk,Biography,1h 37m,6.6,453
The Man Who Loved UFOs,Biography,1h 47m,5.3,651
Filmlovers!,Biography,1h 28m,6.0,222
Wingless,Biography,1h 50m,7.2,235
La Grande,Biography,1h 35m,9.0,43
Silvio,Biography,1h 54m,3.1,560
Becoming Hitchcock: The Legacy of Blackmail,Biography,1h 12m,7.2,293
God Be with Us,Biography,1h 30m,6.3,18
Oscar Wilde About America,Biography,1h 38m,4.4,36
Saint Nick of Bethlehem,Biography,1h 33m,8.8,105
Hawala,Biography,N/A,9.6,211
Madu,Biography,1h 40m,5.3,274
Patrice: The Movie,Biography,1h 42m,8.3,244
Yatra 2,Biography,2h 12m,6.2,9.7K
"Enescu, Skinned Alive",Biography,N/A,4.9,171
"Siggi - drengen, der blev FBI-spion",Biography,1h 30m,6.7,146
Ol' Dirty Bastard: A Tale of Two Dirtys,Biography,1h 26m,6.7,240
Diane von Furstenberg: Woman in Charge,Biography,1h 37m,7.3,337
Blood'less' Revolution,Biography,1h 43m,6.7,328
Hyper: The Stevie Hyper D Story,Biography,1h 31m,8.8,31
Greenwood Rising: The Rise of Black Wall Street,Biography,N/A,7.1,104
Estimados Señores,Biography,1h 38m,7.7,67
Janis Ian: Breaking Silence,Biography,1h 54m,7.8,169
Sharon Stone: Survival Instinct,Biography,52m,6.7,84
Pastor's Kid,Biography,1h 30m,6.2,47
Miséria,Biography,1h 39m,4.1,110
Sadik Ahmet,Biography,2h 5m,7.6,448
Chabuca,Biography,1h 53m,6.7,262
Malevych,Biography,1h 30m,6.4,10
Hope of Escape,Biography,1h 31m,7.8,47
Klitschko: More Than a Fight,Biography,1h 36m,6.3,520
Raghuveer,Biography,2h 5m,8.9,68
Satyashodhak,Biography,2h 25m,8.3,384
Rock Bottom,Biography,1h 26m,6.3,72
Basketball Jones: The First Chapter,Biography,N/A,9.6,6
The Peanut Man,Biography,N/A,5.5,78
The Movie Man,Biography,1h 29m,7.6,234
Born to Be Wild: The Story of Steppenwolf,Biography,1h 40m,7.0,55
Cookster: The Darkest Days,Biography,1h 59m,8.0,47
Padatik,Biography,2h 6m,7.9,122
"Carville: Winning Is Everything, Stupid",Biography,1h 38m,7.2,283
Ennio Doris - C'è anche domani,Biography,1h 30m,4.6,111
Project Alien Earth,Biography,N/A,7.6,8
Schindler Space Architect,Biography,1h 33m,7.1,12
Looking for Simone,Biography,1h 33m,7.1,19
Michael Jackson: Ungloved,Biography,1h,6.3,29
Butterfly,Biography,N/A,N/A,N/A
Karina,Biography,1h 30m,6.3,70
30 to 45,Biography,1h 58m,3.5,21
Dr. Hedgewar,Biography,2h 40m,7.4,17
Il était une fois Michel Legrand,Biography,1h 49m,7.7,59
Memoir Seorang Guru,Biography,2h,7.1,139
MatPat the Movie,Biography,N/A,9.0,27
The Preacher,Biography,52m,N/A,N/A
Bach - Ein Weihnachtswunder,Biography,1h 29m,6.2,173
The World According to Allee Willis,Biography,1h 37m,7.9,111
Go Against the Flow,Biography,1h 37m,5.3,175
Mit einem Tiger schlafen,Biography,1h 47m,6.8,158
The Legend of Sudarshan Chakra,Biography,2h 40m,9.0,27
Thirty Years with the Whip,Biography,1h 29m,N/A,N/A
Rhythm of a Flower,Biography,1h 21m,7.3,15
Comrade Yuri,Biography,N/A,N/A,N/A
Funmilayo Ransome-Kuti,Biography,1h 31m,8.5,103
Sube a mi Nube,Biography,1h 50m,5.9,60
"Sean Penn, L'enfant terrible de l'Amérique",Biography,52m,6.9,55
Padu,Biography,1h 37m,5.2,84
La herencia de Flora,Biography,2h 14m,5.8,6
The Ballad of Suzanne Césaire,Biography,1h 15m,5.7,41
You Are Always Right Here,Biography,N/A,N/A,N/A
Der Soldat Monika,Biography,1h 49m,6.8,32
Komandir,Biography,2h 11m,6.3,543
Don't Ever Stop,Biography,1h 25m,9.5,34
Bröderna Andersson,Biography,1h 24m,7.1,143
Knock Out Blonde: The Kellie Maloney Story,Biography,1h 30m,6.0,24
Taghiev: Oil,Biography,2h,9.1,96
Da Vinci,Biography,1h 21m,8.3,85
Powstaniec 1863,Biography,1h 55m,5.3,150
Alí Primera,Biography,N/A,N/A,N/A
Main Mulayam Singh Yadav,Biography,2h,3.8,202
Daytime Revolution,Biography,1h 48m,6.8,115
Waldo,Biography,1h 44m,6.8,21
"Mary, Marianna, Maria: Ta agnosta ellinika hronia tis Kallas",Biography,1h 43m,7.7,17
Glenn Fredly: The Movie,Biography,2h 1m,6.7,134
Janet Jackson: In Control,Biography,1h,5.1,10
Joachim and the Apocalypse,Biography,1h 30m,7.7,17
Niepewnosc. Zakochany Mickiewicz,Biography,1h 53m,3.7,57
Gold,Biography,2h 6m,7.7,83
Harta Tahta Raisa,Biography,1h 50m,4.0,72
Son Sarki: Ahmet'in Türküsü,Biography,1h 41m,1.5,115
Seu Cavalcanti,Biography,1h 18m,N/A,N/A
Mythical Creatures,Biography,1h 30m,N/A,N/A
Ninety Minutes Later,Biography,1h 28m,7.7,10
The Ballad of John and Yoko,Biography,1h 41m,8.5,18
Gummadi Narsaiah Biopic,Biography,N/A,N/A,N/A
Dragon Boy,Biography,23m,N/A,N/A
Who Killed Lawrence of Arabia?,Biography,1h 40m,6.5,32
Concepción,Biography,2h 20m,7.8,32
Me Dicen El Panzer,Biography,1h 30m,7.6,11
Fly by Night,Biography,N/A,8.0,16
Yaremchuk: Nezrivniannyi svit krasy,Biography,1h 32m,8.6,490
Charmian Clift: Life Burns High,Biography,1h 20m,7.9,15
