Movie_Name,Genre,Duration,Ratings,Voting_counts
Dedh Bigha Zameen,Family,1h 40m,6.9,793
Sabari,Family,2h 9m,6.4,5.4K
"Die Heinzels: Neue Mützen, Neue Mission",Family,1h 16m,6.0,119
The Proud Princess,Family,1h 24m,6.3,166
Niko: Beyond the Northern Lights,Family,1h 26m,6.1,370
Living Large,Family,1h 20m,6.9,205
A Nashville Wish,Family,1h 42m,5.6,105
The Snow Sister,Family,1h 36m,7.0,2.2K
Inanimate Insanity II: The Movie,Family,1h 46m,8.3,271
We Believe,Family,1h 18m,2.2,54
Grrr...,Family,2h 1m,4.0,1K
My Redneck Neighbor: Chapter 2 - Let the Games Begin,Family,55m,5.7,11
Skelly,Family,1h 25m,5.4,101
Going Viral,Family,1h 30m,6.8,308
Magic Beach,Family,1h 20m,5.1,87
Like a Rolling Stone,Family,1h 46m,7.7,532
Daaru Na Peenda Hove,Family,1h 51m,7.5,2.3K
Børnene fra Sølvgade,Family,1h 42m,6.7,145
Dance Rivals,Family,1h 33m,5.8,77
My Eyes,Family,1h 27m,5.1,67
Khusma,Family,2h 25m,8.0,73
SuperKlaus,Family,1h 28m,4.3,220
Laggam,Family,2h 10m,8.2,5.1K
Emma's Big Adventure,Family,1h 46m,5.3,149
Treasure Trackers,Family,1h 32m,5.6,183
Lucy and the Lake Monster,Family,N/A,8.1,47
Paper Flowers,Family,1h 40m,8.6,39
Heartsping : Teenieping of Love,Family,N/A,7.4,35
Rajakili,Family,2h 2m,4.8,631
Not Just a Goof,Family,1h 27m,7.7,480
The Adventures of Jurassic Pet: Return to the Wild,Family,1h 30m,5.4,92
Hashtag Tadev lagnam,Family,1h 58m,6.5,167
Kid Santa,Family,N/A,2.2,11
Domovyonok Kuzya,Family,1h 30m,5.8,907
Peppa's Cinema Party,Family,1h 5m,4.9,160
"Love, Sitara",Family,1h 45m,5.3,313
Singapore Saloon,Family,2h 17m,6.0,1.3K
CBeebies Panto: Beauty and the Beast,Family,1h 13m,7.2,19
Juf Braaksel en de geniale ontsnapping,Family,1h 23m,4.2,73
Superkrachten voor je hoofd,Family,1h 32m,7.3,205
Babah,Family,2h 9m,6.4,196
Princesa Adormecida,Family,1h 20m,3.9,194
Depth of Field,Family,N/A,7.8,38
"Maya, donne-moi un titre",Family,1h 1m,6.5,75
Saint Nick of Bethlehem,Family,1h 33m,8.8,105
Stinky Summer,Family,1h 30m,5.2,60
G for Gap,Family,1h 43m,7.1,622
Ole Aale,Family,2h 22m,8.6,417
Joy of Horses,Family,1h 30m,5.5,180
Nanak Naam Jahaz Hai,Family,2h 20m,9.2,16
Windcatcher,Family,1h 20m,5.4,421
Heidi,Family,1h 40m,6.4,9
Mujigae,Family,1h 49m,6.8,61
Sieger Sein,Family,1h 59m,6.4,196
LasseMajas detektivbyrå - Maskoten som försvann,Family,1h 30m,6.0,74
Peas and Carrots,Family,1h 36m,3.8,6
The Neon Highway,Family,1h 53m,6.0,547
Rajkumar,Family,2h 25m,7.4,2.8K
Scooped,Family,1h 24m,4.7,55
Blended Christmas,Family,N/A,6.1,70
